"id","recipe_draft_id","name","amount","deleted_at","created_at","updated_at"
1,1,"じゃが芋 ","1～2個",,"2012-05-13 14:13:41 UTC","2012-05-13 14:13:41 UTC"
2,1,"キャベツ","1/4個",,"2012-05-13 14:14:00 UTC","2012-05-13 14:14:00 UTC"
3,1,"ベーコン","1袋",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
4,1,"バター ","小さじ1/2",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
5,1,"油","適宜",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
6,1,"塩コショウ","適宜",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
7,2,"豚もも薄切り","200ｇ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
8,2,"ピーマン","3個～5個",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
9,2,"ジャガイモ","中1個 ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
10,2,"★しょうゆ ","大1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
11,2,"★酒","大1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
12,2,"★サラダ油 ","小1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
13,2,"★片栗粉","小2",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
14,2,"◎しょうゆ ","大1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
15,2,"◎酒（紹興酒）","大1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
16,2,"◎さとう ","小1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
17,2,"◎オイスターソース ","大1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
18,2,"◎鶏ガラスープの素 ","小1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
19,2,"ごま油","大1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
20,3,"じゃがいも","４個",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
21,3,"片栗粉","大匙２",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
22,3,"青のり","好きなだけ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
23,3,"塩","適宜",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
24,4,"じゃがいも ","２つ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
25,4,"唐辛子 ","５本",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
26,4,"花椒（中国の山椒）","５０粒位",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
27,4,"ニンニク","１かけ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
28,4,"ラー油（または老干媽）","数滴",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
29,4,"黒胡椒 ","少々",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
30,4,"塩 ","適量",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
31,5,"じゃがいも","中３個",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
32,5,"コンビーフ缶詰","１缶",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
33,5,"卵","２個",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
34,5,"塩こしょう","少々",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
35,5,"醤油","小さじ１",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
36,5,"サラダ油","小さじ１ ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
37,6,"じゃがいも（皮付き）","５００ｇ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
38,6,"あいびき肉","１５０ｇ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
39,6,"たまねぎ","中１/２個",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
40,6,"牛乳","５０～７０ｃｃ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
41,6,"とろけるチーズ","２０～３０ｇ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
42,6,"塩","小さじ１/４",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
43,6,"醤油","小さじ１/２",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
44,6,"こしょう","少々",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
45,6,"ナツメグ","少々",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
46,6,"塩・こしょう（マッシュポテト用）","適宜",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
47,6,"とき卵（ツヤ出し・なくても良い）","適宜",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
48,7,"じゃがいも","小さめ４個",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
49,7,"ベーコン（あればブロックタイプ","100g",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
50,7,"薄力粉","大さじ３",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
51,7,"サラダ油 ","大さじ１",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
52,7,"粗塩","適宜",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
53,8,"ジャガイモ","200ｇ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
54,8,"お好み焼きソース","適量",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
55,8,"かつおぶし","適量",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
56,8,"青のり","適量",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
57,8,"卵","2個",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
58,8,"だしの素","小さじ1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
59,8,"紅ショウガ（みじん切り） ","小さじ2",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
60,8,"キャベツ（みじん切りにしておきます）","2００ｇ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
61,8,"ちくわ（たてに半分に切ってから薄切りにしておきます）","2本",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
62,8,"小エビ","10～15匹",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
63,9,"じゃがいも","５～６個（600ｇくらい）",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
64,9,"卵","4個",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
65,9,"ベーコン","薄切り5～6枚",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
66,9,"とろけるチーズ","100グラム位（好みで）",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
67,9,"EXバージンオリーブオイル","適宜 ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
68,9,"塩","適宜 ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
69,9,"あらびき黒こしょう","適宜 ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
70,10,"じゃが芋(男爵）","3個",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
71,10,"にんにく","1個",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
72,10,"アンチョビ","１５ｇ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
73,10,"オリーブオイル","大さじ１",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
74,10,"パセリ","適量",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
75,10,"塩","適量",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
76,11,"アスパラ","３本",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
77,11,"じゃがいも","中２個(約250ｇ)",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
78,11,"プロセスチーズ","２個(約30ｇ)",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
79,11,"ハム","２枚",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
80,11,"マヨネーズ","大さじ１～２",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
81,11,"酢","大さじ１/２",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
82,11,"コショー","少々",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
